id;d1;d2;cluster
c2sp1s92;5,80368;8,17932;3
c2sp1s93;5,81007;8,11655;3
c2sp1s94;5,81771;8,05374;3
c2sp1s95;5,82658;7,99089;3
c2sp1s96;5,83669;7,92805;3
c2sp1s97;5,84805;7,86523;3
c2sp1s98;5,86065;7,80246;3
c2sp1s99;5,87451;7,73976;3
c2sp1s100;5,88962;7,67716;3
c2sp1s101;10,58422;9,55914;0
c2sp1s102;5,90598;7,61468;3
c2sp1s103;5,92359;7,55235;3
c2sp1s104;5,94245;7,49019;3
c2sp1s105;5,96257;7,42824;3
c2sp1s106;5,98395;7,36650;3
c2sp1s107;6,00657;7,30502;3
c2sp1s108;6,03044;7,24381;3
c2sp1s109;6,05556;7,18290;3
c2sp1s110;6,08192;7,12231;3
c2sp1s111;6,10953;7,06207;3
c2sp1s112;10,50973;9,02846;0
c2sp1s113;10,58277;9,59240;0
c2sp1s114;6,13837;7,00221;3
c2sp1s115;6,16844;6,94275;3
c2sp1s116;6,19974;6,88372;3
c2sp1s117;6,23226;6,82513;3
c2sp1s118;6,26600;6,76703;3
c2sp1s119;6,30095;6,70942;3
c2sp1s120;6,33711;6,65234;3
c2sp1s121;6,37445;6,59582;3
c2sp1s122;6,41299;6,53986;3
c2sp1s123;6,45270;6,48451;4
c2sp1s124;10,58062;9,62581;0
c2sp1s125;6,49359;6,42979;4
c2sp1s126;6,53563;6,37571;4
c2sp1s127;6,57882;6,32231;4
c2sp1s128;6,62316;6,26961;4
c2sp1s129;6,66862;6,21763;4
c2sp1s130;6,71520;6,16640;4
c2sp1s131;6,76289;6,11593;4
c2sp1s132;6,81167;6,06626;4
c2sp1s133;6,86153;6,01741;4
c2sp1s134;6,91245;5,96940;4
c2sp1s135;10,57777;9,65935;0
c2sp1s136;6,96443;5,92225;4
c2sp1s137;7,01744;5,87599;4
c2sp1s138;7,07148;5,83063;4
c2sp1s139;7,12652;5,78620;4
c2sp1s140;7,18256;5,74273;4
c2sp1s141;7,23957;5,70023;4
c2sp1s142;7,29754;5,65873;4
c2sp1s143;7,35644;5,61824;4
c2sp1s144;7,41628;5,57878;4
c2sp1s145;7,47701;5,54039;4
c2sp1s146;10,57421;9,69300;0
c2sp1s147;7,53864;5,50307;4
c2sp1s148;7,60113;5,46685;4
c2sp1s149;7,66446;5,43174;4
c2sp1s150;7,72863;5,39778;4
c2sp1s151;7,79360;5,36496;4
c2sp1s152;7,85936;5,33332;4
c2sp1s153;7,92588;5,30287;4
c2sp1s154;7,99315;5,27363;4
c2sp1s155;8,06114;5,24561;4
c2sp1s156;8,12983;5,21884;4
c2sp1s157;10,56995;9,72675;0
c2sp1s158;8,19919;5,19332;4
c2sp1s159;8,26921;5,16908;4
c2sp1s160;8,33986;5,14613;4
c2sp1s161;8,41112;5,12449;4
c2sp1s162;8,48295;5,10416;4
c2sp1s163;8,55535;5,08517;4
c2sp1s164;8,62827;5,06753;4
c2sp1s165;8,70171;5,05125;4
c2sp1s166;8,77562;5,03635;4
c2sp1s167;8,84999;5,02283;4
c2sp1s168;10,56497;9,76058;0
c2sp1s169;8,92479;5,01071;4
c2sp1s170;9,00000;5,00000;4
c2sp1s171;9,07558;4,99071;4
c2sp1s172;9,15152;4,98286;4
c2sp1s173;9,22777;4,97644;4
c2sp1s174;9,30432;4,97148;4
c2sp1s175;9,38114;4,96797;4
c2sp1s176;9,45820;4,96594;4
c2sp1s177;9,53547;4,96538;4
c2sp1s178;9,61292;4,96630;4
c2sp1s179;10,55926;9,79448;0
c2sp1s180;9,69053;4,96871;4
c2sp1s181;9,76826;4,97262;4
c2sp1s182;9,84610;4,97803;4
c2sp1s183;9,92400;4,98495;4
c2sp1s184;10,00193;4,99338;4
c2sp1s185;10,07988;5,00332;4
c2sp1s186;10,15781;5,01478;4
c2sp1s187;10,23569;5,02776;4
c2sp1s188;10,31349;5,04227;4
c2sp1s189;10,39119;5,05830;4
c2sp1s190;10,55283;9,82844;0
c2sp1s191;10,46874;5,07586;4
c2sp1s192;10,54612;5,09494;4
c2sp1s193;10,62331;5,11555;4
c2sp1s194;10,70027;5,13768;4
c2sp1s195;10,77696;5,16134;4
c2sp1s196;10,85337;5,18652;4
c2sp1s197;10,92946;5,21322;4
c2sp1s198;11,00520;5,24144;4
c2sp1s199;11,08056;5,27117;2
c2sp1s200;11,15551;5,30241;2
c2sp1s201;10,54567;9,86243;0
c2sp1s202;11,23002;5,33515;2
c2sp1s203;11,30406;5,36939;2
c2sp1s204;11,37759;5,40512;2
c2sp1s205;11,45060;5,44234;2
c2sp1s206;11,52305;5,48103;2
c2sp1s207;11,59491;5,52120;2
c2sp1s208;11,66615;5,56283;2
c2sp1s209;11,73673;5,60590;2
c2sp1s210;11,80664;5,65043;2
c2sp1s211;11,87585;5,69638;2
c2sp1s212;10,53778;9,89645;0
c2sp1s213;11,94431;5,74375;2
c2sp1s214;12,01201;5,79254;2
c2sp1s215;12,07891;5,84272;2
c2sp1s216;12,14499;5,89429;2
c2sp1s217;12,21021;5,94723;2
c2sp1s218;12,27456;6,00152;2
c2sp1s219;12,33799;6,05716;2
c2sp1s220;12,40049;6,11413;2
c2sp1s221;12,46203;6,17241;2
c2sp1s222;12,52257;6,23199;2
c2sp1s223;10,51892;9,05729;0
c2sp1s224;10,52916;9,93047;0
c2sp1s225;12,58210;6,29285;2
c2sp1s226;12,64058;6,35497;2
c2sp1s227;12,69798;6,41833;2
c2sp1s228;12,75429;6,48292;2
c2sp1s229;12,80948;6,54872;2
c2sp1s230;12,86351;6,61571;2
c2sp1s231;12,91638;6,68386;2
c2sp1s232;12,96804;6,75316;2
c2sp1s233;13,01848;6,82359;2
c2sp1s234;13,06767;6,89512;2
c2sp1s235;10,51979;9,96449;0
c2sp1s236;13,11558;6,96774;2
c2sp1s237;13,16220;7,04142;2
c2sp1s238;13,20751;7,11613;2
c2sp1s239;13,25147;7,19185;2
c2sp1s240;13,29407;7,26857;2
c2sp1s241;13,33529;7,34625;2
c2sp1s242;13,37510;7,42487;2
c2sp1s243;13,41348;7,50440;2
c2sp1s244;13,45041;7,58483;2
c2sp1s245;13,48588;7,66611;2
c2sp1s246;10,50968;9,99848;0
c2sp1s247;13,51986;7,74823;2
c2sp1s248;13,55234;7,83116;2
c2sp1s249;13,58329;7,91487;2
c2sp1s250;13,61271;7,99933;2
c2sp1s251;13,64056;8,08451;2
c2sp1s252;13,66683;8,17039;2
c2sp1s253;13,69152;8,25694;2
c2sp1s254;13,71460;8,34412;2
c2sp1s255;13,73605;8,43191;2
c2sp1s256;13,75587;8,52027;2
c2sp1s257;10,49883;10,03243;0
c2sp1s258;13,77403;8,60918;2
c2sp1s259;13,79053;8,69861;2
c2sp1s260;13,80535;8,78851;2
c2sp1s261;13,81848;8,87887;2
c2sp1s262;13,82990;8,96965;2
c2sp1s263;13,83962;9,06082;2
c2sp1s264;13,84761;9,15234;2
c2sp1s265;13,85386;9,24419;2
c2sp1s266;13,85837;9,33632;2
c2sp1s267;13,86113;9,42871;2
c2sp1s268;10,48723;10,06632;0
c2sp1s269;13,86213;9,52133;2
c2sp1s270;13,86136;9,61413;2
c2sp1s271;13,85882;9,70709;2
c2sp1s272;13,85450;9,80018;2
c2sp1s273;13,84838;9,89334;0
c2sp1s274;13,84048;9,98657;0
c2sp1s275;13,83079;10,07981;0
c2sp1s276;13,81929;10,17304;0
c2sp1s277;13,80600;10,26621;0
c2sp1s278;13,79090;10,35930;0
c2sp1s279;10,47488;10,10015;0
c2sp1s280;13,77399;10,45227;0
c2sp1s281;13,75528;10,54508;0
c2sp1s282;13,73477;10,63771;0
c2sp1s283;13,71244;10,73011;0
c2sp1s284;13,68832;10,82225;0
c2sp1s285;13,66239;10,91409;0
c2sp1s286;13,63466;11,00560;0
c2sp1s287;13,60514;11,09674;0
c2sp1s288;13,57382;11,18748;0
c2sp1s289;13,54071;11,27779;0
c2sp1s290;10,46179;10,13388;0
c2sp1s291;13,50583;11,36762;0
c2sp1s292;13,46916;11,45694;0
c2sp1s293;13,43073;11,54573;0
c2sp1s294;13,39054;11,63393;0
c2sp1s295;13,34859;11,72152;0
c2sp1s296;13,30489;11,80847;0
c2sp1s297;13,25946;11,89473;0
c2sp1s298;13,21231;11,98028;0
c2sp1s299;13,16344;12,06507;0
c2sp1s300;13,11287;12,14908;0
c2sp1s301;10,44794;10,16751;0
c2sp1s302;13,06061;12,23227;0
c2sp1s303;11,14860;11,31100;0
c2sp1s304;12,95107;12,39605;0
c2sp1s305;12,89381;12,47658;0
c2sp1s306;12,83493;12,55616;0
c2sp1s307;12,77442;12,63474;0
c2sp1s308;12,71231;12,71231;0
c2sp1s309;12,64862;12,78883;0
c2sp1s310;12,58335;12,86426;0
c2sp1s311;12,51654;12,93857;0
c2sp1s312;10,43334;10,20101;0
c2sp1s313;12,44820;13,01173;0
c2sp1s314;12,37835;13,08372;0
c2sp1s315;12,30700;13,15450;0
c2sp1s316;12,23419;13,22403;0
c2sp1s317;12,15993;13,29229;0
c2sp1s318;12,08424;13,35925;0
c2sp1s319;12,00715;13,42488;0
c2sp1s320;11,92867;13,48915;0
c2sp1s321;11,84885;13,55203;0
c2sp1s322;11,76768;13,61349;0
c2sp1s323;10,41799;10,23438;0
c2sp1s324;11,68522;13,67351;0
c2sp1s325;11,60147;13,73206;0
c2sp1s326;11,51647;13,78910;0
c2sp1s327;11,43024;13,84462;0
c2sp1s328;11,34281;13,89859;0
c2sp1s329;11,25420;13,95098;0
c2sp1s330;11,16446;14,00176;0
c2sp1s331;11,07359;14,05092;0
c2sp1s332;10,98165;14,09843;0
c2sp1s333;10,88864;14,14426;0
c2sp1s334;10,52755;9,08647;0
c2sp1s335;10,40189;10,26760;0
c2sp1s336;10,79462;14,18840;0
c2sp1s337;10,69959;14,23081;0
c2sp1s338;10,60361;14,27148;0
c2sp1s339;10,50669;14,31039;0
c2sp1s340;10,40888;14,34752;0
c2sp1s341;10,31020;14,38284;0
c2sp1s342;10,21070;14,41634;0
c2sp1s343;10,11039;14,44799;0
c2sp1s344;10,00932;14,47779;0
c2sp1s345;9,90752;14,50571;0
c2sp1s346;10,38504;10,30064;0
c2sp1s347;9,80502;14,53173;1
c2sp1s348;9,70187;14,55584;1
c2sp1s349;9,59809;14,57803;1
c2sp1s350;9,49372;14,59827;1
c2sp1s351;9,38881;14,61656;1
c2sp1s352;9,28338;14,63288;1
c2sp1s353;9,17747;14,64721;1
c2sp1s354;9,07112;14,65955;1
c2sp1s355;8,96437;14,66989;1
c2sp1s356;8,85726;14,67821;1
c2sp1s357;10,36744;10,33350;0
c2sp1s358;8,74982;14,68450;1
c2sp1s359;8,64209;14,68875;1
c2sp1s360;8,53412;14,69096;1
c2sp1s361;8,42593;14,69112;1
c2sp1s362;8,31757;14,68922;1
c2sp1s363;8,20908;14,68525;1
c2sp1s364;8,10050;14,67921;1
c2sp1s365;7,99187;14,67109;1
c2sp1s366;7,88322;14,66089;1
c2sp1s367;7,77460;14,64861;1
c2sp1s368;10,34909;10,36615;0
c2sp1s369;7,66605;14,63424;1
c2sp1s370;7,55760;14,61778;1
c2sp1s371;7,44930;14,59923;1
c2sp1s372;7,34119;14,57860;1
c2sp1s373;7,23330;14,55587;1
c2sp1s374;7,12569;14,53105;1
c2sp1s375;7,01838;14,50415;1
c2sp1s376;6,91143;14,47517;1
c2sp1s377;6,80486;14,44410;1
c2sp1s378;6,69872;14,41096;1
c2sp1s379;10,32999;10,39858;0
c2sp1s380;6,59306;14,37575;1
c2sp1s381;6,48790;14,33848;1
c2sp1s382;6,38330;14,29915;1
c2sp1s383;6,27929;14,25777;1
c2sp1s384;6,17591;14,21435;1
c2sp1s385;6,07320;14,16889;1
c2sp1s386;5,97120;14,12142;1
c2sp1s387;5,86996;14,07193;1
c2sp1s388;5,76951;14,02044;1
c2sp1s389;5,66988;13,96696;1
c2sp1s390;10,31015;10,43078;0
c2sp1s391;5,57113;13,91151;1
c2sp1s392;5,47329;13,85410;1
c2sp1s393;5,37639;13,79474;1
c2sp1s394;5,28049;13,73346;1
c2sp1s395;5,18560;13,67025;1
c2sp1s396;5,09178;13,60515;1
c2sp1s397;4,99906;13,53817;1
c2sp1s398;4,90748;13,46933;1
c2sp1s399;4,81708;13,39864;1
c2sp1s400;4,72789;13,32614;1
c2sp1s401;10,28956;10,46272;0
c2sp1s402;4,63995;13,25183;1
c2sp1s403;4,55329;13,17574;1
c2sp1s404;4,46796;13,09789;1
c2sp1s405;4,38398;13,01830;1
c2sp1s406;4,30140;12,93701;1
c2sp1s407;4,22024;12,85402;1
c2sp1s408;4,14055;12,76938;1
c2sp1s409;4,06235;12,68309;1
c2sp1s410;3,98568;12,59520;1
c2sp1s411;3,91057;12,50572;1
c2sp1s412;10,26823;10,49439;0
c2sp1s413;3,83705;12,41469;1
c2sp1s414;3,76517;12,32213;1
c2sp1s415;3,69494;12,22807;1
c2sp1s416;3,62640;12,13254;1
c2sp1s417;3,55958;12,03557;1
c2sp1s418;3,49450;11,93719;1
c2sp1s419;3,43121;11,83744;1
c2sp1s420;3,36972;11,73634;1
c2sp1s421;3,31007;11,63394;3
c2sp1s422;3,25229;11,53025;3
c2sp1s423;10,24616;10,52577;0
c2sp1s424;3,19639;11,42532;3
c2sp1s425;3,14241;11,31918;3
c2sp1s426;3,09037;11,21187;3
c2sp1s427;3,04030;11,10342;3
c2sp1s428;2,99222;10,99386;3
c2sp1s429;2,94616;10,88324;3
c2sp1s430;2,90213;10,77159;3
c2sp1s431;2,86017;10,65895;3
c2sp1s432;2,82029;10,54536;3
c2sp1s433;2,78252;10,43085;3
c2sp1s434;10,22336;10,55685;0
c2sp1s435;2,74687;10,31546;3
c2sp1s436;2,71336;10,19924;3
c2sp1s437;2,68202;10,08222;3
c2sp1s438;2,65286;9,96445;3
c2sp1s439;2,62589;9,84596;3
c2sp1s440;2,60114;9,72680;3
c2sp1s441;2,57863;9,60700;3
c2sp1s442;2,55835;9,48661;3
c2sp1s443;2,54034;9,36568;3
c2sp1s444;2,52460;9,24423;3
c2sp1s445;10,53562;9,11600;0
c2sp1s446;10,19983;10,58761;0
c2sp1s447;2,51115;9,12233;3
c2sp1s448;10,17557;10,61803;0
c2sp1s449;10,15059;10,64810;0
c2sp1s450;10,12489;10,67780;0
c2sp1s451;10,09848;10,70712;0
c2sp1s452;10,07136;10,73603;0
c2sp1s453;10,04353;10,76452;0
c2sp1s454;10,01502;10,79258;0
c2sp1s455;9,98581;10,82018;0
c2sp1s456;9,95593;10,84732;0
c2sp1s457;10,54312;9,14587;0
c2sp1s458;9,92537;10,87398;0
c2sp1s459;9,89414;10,90014;0
c2sp1s460;9,86225;10,92578;0
c2sp1s461;9,82971;10,95089;0
c2sp1s462;9,79653;10,97546;0
c2sp1s463;9,76272;10,99946;0
c2sp1s464;9,72829;11,02289;0
c2sp1s465;9,69324;11,04573;0
c2sp1s466;9,65759;11,06797;0
c2sp1s467;9,62134;11,08958;0
c2sp1s468;10,55003;9,17606;0
c2sp1s469;9,58452;11,11055;0
c2sp1s470;9,54712;11,13088;0
c2sp1s471;9,50916;11,15055;0
c2sp1s472;9,47066;11,16954;0
c2sp1s473;9,43162;11,18783;0
c2sp1s474;9,39205;11,20542;0
c2sp1s475;9,35198;11,22230;0
c2sp1s476;9,31141;11,23844;0
c2sp1s477;9,27035;11,25384;0
c2sp1s478;9,22883;11,26849;0
c2sp1s479;10,55635;9,20656;0
c2sp1s480;9,18684;11,28237;0
c2sp1s481;9,14442;11,29546;0
c2sp1s482;9,10157;11,30777;0
c2sp1s483;9,05830;11,31927;0
c2sp1s484;9,01464;11,32995;0
c2sp1s485;8,97060;11,33982;0
c2sp1s486;8,92618;11,34884;0
c2sp1s487;8,88142;11,35702;0
c2sp1s488;8,83633;11,36434;1
c2sp1s489;8,79091;11,37080;1
c2sp1s490;10,56207;9,23736;0
c2sp1s491;8,74520;11,37638;1
c2sp1s492;8,69920;11,38108;1
c2sp1s493;8,65293;11,38488;1
c2sp1s494;8,60642;11,38778;1
c2sp1s495;8,55967;11,38977;1
c2sp1s496;8,51271;11,39085;1
c2sp1s497;8,46555;11,39100;1
c2sp1s498;8,41821;11,39021;1
c2sp1s499;8,37072;11,38849;1
c2sp1s500;8,32308;11,38583;1
c2sp2s501;15,48885;8,87767;2
c2sp2s502;7,50000;9,00000;3
c2sp2s503;7,49027;8,97154;3
c2sp2s504;7,48108;8,94271;3
c2sp2s505;7,47245;8,91353;3
c2sp2s506;7,46438;8,88400;3
c2sp2s507;7,45688;8,85413;3
c2sp2s508;7,44997;8,82394;3
c2sp2s509;7,44365;8,79344;3
c2sp2s510;7,43793;8,76264;3
c2sp2s511;7,43283;8,73156;3
c2sp2s512;7,42834;8,70019;3
c2sp2s513;7,42448;8,66856;3
c2sp2s514;7,42127;8,63668;3
c2sp2s515;7,41869;8,60456;3
c2sp2s516;7,41677;8,57222;3
c2sp2s517;7,41552;8,53967;3
c2sp2s518;7,41492;8,50691;3
c2sp2s519;7,41501;8,47397;3
c2sp2s520;7,41578;8,44086;3
c2sp2s521;7,41723;8,40760;3
c2sp2s522;7,41938;8,37419;3
c2sp2s523;7,42223;8,34065;3
c2sp2s524;7,42579;8,30700;3
c2sp2s525;7,43005;8,27325;3
c2sp2s526;7,43503;8,23942;3
c2sp2s527;7,44074;8,20552;3
c2sp2s528;7,44717;8,17156;3
c2sp2s529;7,45433;8,13757;3
c2sp2s530;7,46222;8,10355;3
c2sp2s531;7,47084;8,06953;3
c2sp2s532;7,48021;8,03551;3
c2sp2s533;7,49032;8,00152;3
c2sp2s534;7,50117;7,96757;3
c2sp2s535;7,51277;7,93368;3
c2sp2s536;7,52512;7,89985;3
c2sp2s537;7,53821;7,86612;3
c2sp2s538;7,55206;7,83249;3
c2sp2s539;7,56666;7,79899;3
c2sp2s540;7,58201;7,76562;3
c2sp2s541;7,59811;7,73240;3
c2sp2s542;7,61496;7,69936;3
c2sp2s543;7,63256;7,66650;3
c2sp2s544;7,65091;7,63385;4
c2sp2s545;7,67001;7,60142;4
c2sp2s546;7,68985;7,56922;4
c2sp2s547;7,71044;7,53728;4
c2sp2s548;7,73177;7,50561;4
c2sp2s549;7,75384;7,47423;4
c2sp2s550;7,77664;7,44315;4
c2sp2s551;7,80017;7,41239;4
c2sp2s552;7,82443;7,38197;4
c2sp2s553;7,84941;7,35190;4
c2sp2s554;7,87511;7,32220;4
c2sp2s555;7,90152;7,29288;4
c2sp2s556;7,92864;7,26397;4
c2sp2s557;7,95647;7,23548;4
c2sp2s558;7,98498;7,20742;4
c2sp2s559;8,01419;7,17982;4
c2sp2s560;8,04407;7,15268;4
c2sp2s561;8,07464;7,12602;4
c2sp2s562;8,10586;7,09986;4
c2sp2s563;8,13775;7,07422;4
c2sp2s564;8,17029;7,04911;4
c2sp2s565;8,20347;7,02454;4
c2sp2s566;8,23728;7,00054;4
c2sp2s567;8,27171;6,97711;4
c2sp2s568;8,30676;6,95427;4
c2sp2s569;8,34241;6,93203;4
c2sp2s570;8,37866;6,91042;4
c2sp2s571;8,41549;6,88945;4
c2sp2s572;8,45288;6,86912;4
c2sp2s573;8,49084;6,84945;4
c2sp2s574;8,52934;6,83046;4
c2sp2s575;8,56839;6,81217;4
c2sp2s576;8,60795;6,79458;4
c2sp2s577;8,64802;6,77770;4
c2sp2s578;8,68859;6,76156;4
c2sp2s579;8,72965;6,74616;4
c2sp2s580;8,77118;6,73151;4
c2sp2s581;8,81316;6,71763;4
c2sp2s582;8,85558;6,70454;4
c2sp2s583;6,95195;12,62740;1
c2sp2s584;8,94170;6,68073;4
c2sp2s585;8,98536;6,67005;4
c2sp2s586;9,02940;6,66018;4
c2sp2s587;9,07382;6,65116;4
c2sp2s588;9,11858;6,64298;4
c2sp2s589;9,16367;6,63566;4
c2sp2s590;9,20909;6,62920;4
c2sp2s591;9,25480;6,62362;4
c2sp2s592;9,30080;6,61892;4
c2sp2s593;9,34707;6,61512;4
c2sp2s594;9,39358;6,61222;4
c2sp2s595;9,44033;6,61023;4
c2sp2s596;9,48729;6,60915;4
c2sp2s597;9,53445;6,60900;4
c2sp2s598;12,83533;6,95998;2
c2sp2s599;9,62928;6,61151;4
c2sp2s600;9,67692;6,61417;4
c2sp2s601;9,72468;6,61779;4
c2sp2s602;9,77254;6,62236;4
c2sp2s603;9,82049;6,62789;4
c2sp2s604;9,86850;6,63439;4
c2sp2s605;9,91656;6,64186;4
c2sp2s606;9,96464;6,65030;4
c2sp2s607;10,01273;6,65973;4
c2sp2s608;10,06080;6,67013;4
c2sp2s609;10,10884;6,68152;4
c2sp2s610;10,15683;6,69389;4
c2sp2s611;10,20474;6,70725;4
c2sp2s612;10,25256;6,72160;4
c2sp2s613;10,30026;6,73695;4
c2sp2s614;10,34783;6,75328;4
c2sp2s615;10,39524;6,77061;4
c2sp2s616;10,44248;6,78893;4
c2sp2s617;10,48952;6,80824;2
c2sp2s618;10,53634;6,82854;2
c2sp2s619;10,58293;6,84983;2
c2sp2s620;10,62925;6,87211;2
c2sp2s621;10,67530;6,89537;2
c2sp2s622;10,72104;6,91961;2
c2sp2s623;10,76647;6,94484;2
c2sp2s624;10,81155;6,97104;2
c2sp2s625;10,85627;6,99821;2
c2sp2s626;10,90061;7,02635;2
c2sp2s627;10,94454;7,05546;2
c2sp2s628;10,98805;7,08552;2
c2sp2s629;11,03112;7,11653;2
c2sp2s630;11,07372;7,14849;2
c2sp2s631;11,11583;7,18138;2
c2sp2s632;11,15744;7,21521;2
c2sp2s633;11,19852;7,24997;2
c2sp2s634;11,23905;7,28564;2
c2sp2s635;11,27902;7,32222;2
c2sp2s636;11,31840;7,35969;2
c2sp2s637;11,35718;7,39806;2
c2sp2s638;11,39533;7,43731;2
c2sp2s639;11,43284;7,47743;2
c2sp2s640;11,46968;7,51841;2
c2sp2s641;11,50583;7,56025;2
c2sp2s642;11,54129;7,60291;2
c2sp2s643;11,57602;7,64641;2
c2sp2s644;11,61002;7,69072;2
c2sp2s645;11,64325;7,73583;2
c2sp2s646;11,67571;7,78174;2
c2sp2s647;11,70738;7,82841;2
c2sp2s648;11,73823;7,87585;2
c2sp2s649;11,76825;7,92404;2
c2sp2s650;11,79743;7,97296;2
c2sp2s651;11,82574;8,02261;2
c2sp2s652;11,85317;8,07295;2
c2sp2s653;11,87970;8,12398;2
c2sp2s654;11,90532;8,17569;2
c2sp2s655;11,93001;8,22805;2
c2sp2s656;11,95376;8,28104;2
c2sp2s657;11,97655;8,33466;2
c2sp2s658;11,99836;8,38889;2
c2sp2s659;12,01918;8,44370;2
c2sp2s660;12,03899;8,49908;2
c2sp2s661;12,05779;8,55501;2
c2sp2s662;12,07556;8,61147;2
c2sp2s663;12,09228;8,66844;2
c2sp2s664;12,10794;8,72590;2
c2sp2s665;12,12253;8,78384;2
c2sp2s666;12,13603;8,84223;2
c2sp2s667;12,14845;8,90106;2
c2sp2s668;12,15975;8,96029;2
c2sp2s669;12,16994;9,01992;2
c2sp2s670;12,17900;9,07991;2
c2sp2s671;12,18692;9,14026;2
c2sp2s672;12,19369;9,20093;2
c2sp2s673;12,19930;9,26191;0
c2sp2s674;12,20374;9,32317;0
c2sp2s675;12,20701;9,38468;0
c2sp2s676;12,20910;9,44644;0
c2sp2s677;12,20999;9,50841;0
c2sp2s678;12,20968;9,57058;0
c2sp2s679;12,20817;9,63291;0
c2sp2s680;12,20544;9,69538;0
c2sp2s681;12,20149;9,75798;0
c2sp2s682;12,19632;9,82068;0
c2sp2s683;12,18993;9,88345;0
c2sp2s684;12,18229;9,94626;0
c2sp2s685;12,17342;10,00911;0
c2sp2s686;12,16331;10,07195;0
c2sp2s687;12,15195;10,13477;0
c2sp2s688;12,13935;10,19754;0
c2sp2s689;12,12549;10,26024;0
c2sp2s690;12,11038;10,32284;0
c2sp2s691;12,09402;10,38532;0
c2sp2s692;12,07641;10,44765;0
c2sp2s693;12,05755;10,50981;0
c2sp2s694;12,03743;10,57176;0
c2sp2s695;12,01605;10,63350;0
c2sp2s696;11,99343;10,69498;0
c2sp2s697;11,96956;10,75619;0
c2sp2s698;11,94444;10,81710;0
